"标题"	"目录"	"年鉴页码"	"编号"	"年鉴年份"	"CAJ"	"PDF"	"EXCEL"	"id"
"各地区农民家庭占有房屋情况"	"全国和省、自治区、直辖市农村经济"	"220"	"N2005120998000140"	"1993"	"yearbooks/N2005120998000140.caj"	"yearbooks/N2005120998000140.pdf"	"yearbooks/N2005120998000140.xls"	"144"
"各地区农民家庭住房面积"	"全国和省、自治区、直辖市农村经济"	"221"	"N2005120998000141"	"1993"	"yearbooks/N2005120998000141.caj"	"yearbooks/N2005120998000141.pdf"	"yearbooks/N2005120998000141.xls"	"145"
"农民家庭主要实物消费品消费量"	"全国和省、自治区、直辖市农村经济"	"222"	"N2005120998000142"	"1993"	"yearbooks/N2005120998000142.caj"	"yearbooks/N2005120998000142.pdf"	"yearbooks/N2005120998000142.xls"	"146"
"各地区农民家庭主要实物消费品消费量"	"全国和省、自治区、直辖市农村经济"	"223-226"	"N2005120998000143"	"1993"	"yearbooks/N2005120998000143.caj"	"yearbooks/N2005120998000143.pdf"	"yearbooks/N2005120998000143.xls"	"147"
"各经济地带农民家庭主要指标"	"全国和省、自治区、直辖市农村经济"	"227"	"N2005120998000144"	"1993"	"yearbooks/N2005120998000144.caj"	"yearbooks/N2005120998000144.pdf"	"yearbooks/N2005120998000144.xls"	"148"
"农业生产条件"	"全国和省、自治区、直辖市农村经济"	"228-281"	"N2005120998000145"	"1993"	"yearbooks/N2005120998000145.caj"	"yearbooks/N2005120998000145.pdf"		"149"
"全国农业自然资源"	"全国和省、自治区、直辖市农村经济"	"228"	"N2005120998000146"	"1993"	"yearbooks/N2005120998000146.caj"	"yearbooks/N2005120998000146.pdf"	"yearbooks/N2005120998000146.xls"	"150"
"全国耕地面积"	"全国和省、自治区、直辖市农村经济"	"229"	"N2005120998000147"	"1993"	"yearbooks/N2005120998000147.caj"	"yearbooks/N2005120998000147.pdf"	"yearbooks/N2005120998000147.xls"	"151"
"各地区耕地面积"	"全国和省、自治区、直辖市农村经济"	"230-231"	"N2005120998000148"	"1993"	"yearbooks/N2005120998000148.caj"	"yearbooks/N2005120998000148.pdf"	"yearbooks/N2005120998000148.xls"	"152"
"农村劳动力"	"全国和省、自治区、直辖市农村经济"	"232"	"N2005120998000149"	"1993"	"yearbooks/N2005120998000149.caj"	"yearbooks/N2005120998000149.pdf"	"yearbooks/N2005120998000149.xls"	"153"
"各地区农村劳动力"	"全国和省、自治区、直辖市农村经济"	"233-240"	"N2005120998000150"	"1993"	"yearbooks/N2005120998000150.caj"	"yearbooks/N2005120998000150.pdf"	"yearbooks/N2005120998000150.xls"	"154"
"农民家庭劳动力及文化状况"	"全国和省、自治区、直辖市农村经济"	"241"	"N2005120998000151"	"1993"	"yearbooks/N2005120998000151.caj"	"yearbooks/N2005120998000151.pdf"	"yearbooks/N2005120998000151.xls"	"155"
"各地区农民家庭劳动力文化状况"	"全国和省、自治区、直辖市农村经济"	"242"	"N2005120998000152"	"1993"	"yearbooks/N2005120998000152.caj"	"yearbooks/N2005120998000152.pdf"	"yearbooks/N2005120998000152.xls"	"156"
"全国主要农业机械年末拥有量"	"全国和省、自治区、直辖市农村经济"	"243"	"N2005120998000153"	"1993"	"yearbooks/N2005120998000153.caj"	"yearbooks/N2005120998000153.pdf"	"yearbooks/N2005120998000153.xls"	"157"
"各地区主要农业机械年末拥有量"	"全国和省、自治区、直辖市农村经济"	"244-247"	"N2005120998000154"	"1993"	"yearbooks/N2005120998000154.caj"	"yearbooks/N2005120998000154.pdf"	"yearbooks/N2005120998000154.xls"	"158"
"各地区全民所有制农业机械年末拥有量"	"全国和省、自治区、直辖市农村经济"	"248-249"	"N2005120998000155"	"1993"	"yearbooks/N2005120998000155.caj"	"yearbooks/N2005120998000155.pdf"	"yearbooks/N2005120998000155.xls"	"159"
"各地区农户农业机械年末拥有量"	"全国和省、自治区、直辖市农村经济"	"250-251"	"N2005120998000156"	"1993"	"yearbooks/N2005120998000156.caj"	"yearbooks/N2005120998000156.pdf"	"yearbooks/N2005120998000156.xls"	"160"
"各地区农户农业机械原值"	"全国和省、自治区、直辖市农村经济"	"252"	"N2005120998000157"	"1993"	"yearbooks/N2005120998000157.caj"	"yearbooks/N2005120998000157.pdf"	"yearbooks/N2005120998000157.xls"	"161"
"全国农业机械、农电、化肥利用和农膜使用情况"	"全国和省、自治区、直辖市农村经济"	"253"	"N2005120998000158"	"1993"	"yearbooks/N2005120998000158.caj"	"yearbooks/N2005120998000158.pdf"	"yearbooks/N2005120998000158.xls"	"162"
"各地区农业机械化情况"	"全国和省、自治区、直辖市农村经济"	"254-255"	"N2005120998000159"	"1993"	"yearbooks/N2005120998000159.caj"	"yearbooks/N2005120998000159.pdf"	"yearbooks/N2005120998000159.xls"	"163"
"各地区农村电气化情况"	"全国和省、自治区、直辖市农村经济"	"256"	"N2005120998000160"	"1993"	"yearbooks/N2005120998000160.caj"	"yearbooks/N2005120998000160.pdf"	"yearbooks/N2005120998000160.xls"	"164"
"各地区农用化肥施用量(按实物量计算)"	"全国和省、自治区、直辖市农村经济"	"257-258"	"N2005120998000161"	"1993"	"yearbooks/N2005120998000161.caj"	"yearbooks/N2005120998000161.pdf"	"yearbooks/N2005120998000161.xls"	"165"
"各地区农用化肥施用量(按折纯量计算)"	"全国和省、自治区、直辖市农村经济"	"259-260"	"N2005120998000162"	"1993"	"yearbooks/N2005120998000162.caj"	"yearbooks/N2005120998000162.pdf"	"yearbooks/N2005120998000162.xls"	"166"
"各地区农用塑料薄膜和农药使用情况"	"全国和省、自治区、直辖市农村经济"	"261"	"N2005120998000163"	"1993"	"yearbooks/N2005120998000163.caj"	"yearbooks/N2005120998000163.pdf"	"yearbooks/N2005120998000163.xls"	"167"
"全国农田灌溉和机电井情况"	"全国和省、自治区、直辖市农村经济"	"262"	"N2005120998000164"	"1993"	"yearbooks/N2005120998000164.caj"	"yearbooks/N2005120998000164.pdf"	"yearbooks/N2005120998000164.xls"	"168"
"各地区农田灌溉情况"	"全国和省、自治区、直辖市农村经济"	"263-265"	"N2005120998000165"	"1993"	"yearbooks/N2005120998000165.caj"	"yearbooks/N2005120998000165.pdf"	"yearbooks/N2005120998000165.xls"	"169"
"各地区机电井情况"	"全国和省、自治区、直辖市农村经济"	"266-268"	"N2005120998000166"	"1993"	"yearbooks/N2005120998000166.caj"	"yearbooks/N2005120998000166.pdf"	"yearbooks/N2005120998000166.xls"	"170"
"灌溉、水库和除涝、治水、治碱情况"	"全国和省、自治区、直辖市农村经济"	"269"	"N2005120998000167"	"1993"	"yearbooks/N2005120998000167.caj"	"yearbooks/N2005120998000167.pdf"	"yearbooks/N2005120998000167.xls"	"171"
"各地区水利设施和除涝、治碱情况"	"全国和省、自治区、直辖市农村经济"	"270-271"	"N2005120998000168"	"1993"	"yearbooks/N2005120998000168.caj"	"yearbooks/N2005120998000168.pdf"	"yearbooks/N2005120998000168.xls"	"172"
"农村生产性固定资产与构成"	"全国和省、自治区、直辖市农村经济"	"272"	"N2005120998000169"	"1993"	"yearbooks/N2005120998000169.caj"	"yearbooks/N2005120998000169.pdf"	"yearbooks/N2005120998000169.xls"	"173"
"各地区农村生产性固定资产原值"	"全国和省、自治区、直辖市农村经济"	"273-274"	"N2005120998000170"	"1993"	"yearbooks/N2005120998000170.caj"	"yearbooks/N2005120998000170.pdf"	"yearbooks/N2005120998000170.xls"	"174"
"乡村两级企业固定资产与构成"	"全国和省、自治区、直辖市农村经济"	"275"	"N2005120998000171"	"1993"	"yearbooks/N2005120998000171.caj"	"yearbooks/N2005120998000171.pdf"	"yearbooks/N2005120998000171.xls"	"175"
"各地区乡村两级企业固定资产原值"	"全国和省、自治区、直辖市农村经济"	"276"	"N2005120998000172"	"1993"	"yearbooks/N2005120998000172.caj"	"yearbooks/N2005120998000172.pdf"	"yearbooks/N2005120998000172.xls"	"176"
"农民家庭平均每户生产性固定资产原值"	"全国和省、自治区、直辖市农村经济"	"277"	"N2005120998000173"	"1993"	"yearbooks/N2005120998000173.caj"	"yearbooks/N2005120998000173.pdf"	"yearbooks/N2005120998000173.xls"	"177"
"农民家庭平均每百户年末拥有主要生产性固定资产数量"	"全国和省、自治区、直辖市农村经济"	"277"	"N2005120998000174"	"1993"	"yearbooks/N2005120998000174.caj"	"yearbooks/N2005120998000174.pdf"	"yearbooks/N2005120998000174.xls"	"178"
"全国受灾和成灾面积"	"全国和省、自治区、直辖市农村经济"	"278"	"N2005120998000175"	"1993"	"yearbooks/N2005120998000175.caj"	"yearbooks/N2005120998000175.pdf"	"yearbooks/N2005120998000175.xls"	"179"
"各地区受灾和成灾面积"	"全国和省、自治区、直辖市农村经济"	"279-281"	"N2005120998000176"	"1993"	"yearbooks/N2005120998000176.caj"	"yearbooks/N2005120998000176.pdf"	"yearbooks/N2005120998000176.xls"	"180"
"农村资金"	"全国和省、自治区、直辖市农村经济"	"282-292"	"N2005120998000177"	"1993"	"yearbooks/N2005120998000177.caj"	"yearbooks/N2005120998000177.pdf"		"181"
"农村生产资金拥有情况"	"全国和省、自治区、直辖市农村经济"	"282-283"	"N2005120998000178"	"1993"	"yearbooks/N2005120998000178.caj"	"yearbooks/N2005120998000178.pdf"	"yearbooks/N2005120998000178.xls"	"182"
"全国财政支农资金总额"	"全国和省、自治区、直辖市农村经济"	"284"	"N2005120998000179"	"1993"	"yearbooks/N2005120998000179.caj"	"yearbooks/N2005120998000179.pdf"	"yearbooks/N2005120998000179.xls"	"183"
"全国财政用于农业基本建设投资"	"全国和省、自治区、直辖市农村经济"	"284"	"N2005120998000180"	"1993"	"yearbooks/N2005120998000180.caj"	"yearbooks/N2005120998000180.pdf"	"yearbooks/N2005120998000180.xls"	"184"
"农业基本建设投资和新增固定资产"	"全国和省、自治区、直辖市农村经济"	"285"	"N2005120998000181"	"1993"	"yearbooks/N2005120998000181.caj"	"yearbooks/N2005120998000181.pdf"	"yearbooks/N2005120998000181.xls"	"185"
"国家财政用于农业生产支出的资金构成"	"全国和省、自治区、直辖市农村经济"	"285"	"N2005120998000182"	"1993"	"yearbooks/N2005120998000182.caj"	"yearbooks/N2005120998000182.pdf"	"yearbooks/N2005120998000182.xls"	"186"
"中国农业银行资产情况"	"全国和省、自治区、直辖市农村经济"	"286"	"N2005120998000183"	"1993"	"yearbooks/N2005120998000183.caj"	"yearbooks/N2005120998000183.pdf"	"yearbooks/N2005120998000183.xls"	"187"
"中国农业银行负债情况"	"全国和省、自治区、直辖市农村经济"	"287"	"N2005120998000184"	"1993"	"yearbooks/N2005120998000184.caj"	"yearbooks/N2005120998000184.pdf"	"yearbooks/N2005120998000184.xls"	"188"
"中国农村信用合作社资产情况"	"全国和省、自治区、直辖市农村经济"	"288"	"N2005120998000185"	"1993"	"yearbooks/N2005120998000185.caj"	"yearbooks/N2005120998000185.pdf"	"yearbooks/N2005120998000185.xls"	"189"
"中国农村信用合作社负债情况"	"全国和省、自治区、直辖市农村经济"	"288"	"N2005120998000186"	"1993"	"yearbooks/N2005120998000186.caj"	"yearbooks/N2005120998000186.pdf"	"yearbooks/N2005120998000186.xls"	"190"
"乡村企业资金拥有情况"	"全国和省、自治区、直辖市农村经济"	"289-290"	"N2005120998000187"	"1993"	"yearbooks/N2005120998000187.caj"	"yearbooks/N2005120998000187.pdf"	"yearbooks/N2005120998000187.xls"	"191"
"农民家庭生产费用现金支出"	"全国和省、自治区、直辖市农村经济"	"291"	"N2005120998000188"	"1993"	"yearbooks/N2005120998000188.caj"	"yearbooks/N2005120998000188.pdf"	"yearbooks/N2005120998000188.xls"	"192"
"各地区农民家庭生产费用现金支出"	"全国和省、自治区、直辖市农村经济"	"292"	"N2005120998000189"	"1993"	"yearbooks/N2005120998000189.caj"	"yearbooks/N2005120998000189.pdf"	"yearbooks/N2005120998000189.xls"	"193"
"农村教育、卫生、文化、社会福利及其他事业"	"全国和省、自治区、直辖市农村经济"	"293-315"	"N2005120998000190"	"1993"	"yearbooks/N2005120998000190.caj"	"yearbooks/N2005120998000190.pdf"		"194"
"农村普通中学和小学的学生与教师数"	"全国和省、自治区、直辖市农村经济"	"293"	"N2005120998000191"	"1993"	"yearbooks/N2005120998000191.caj"	"yearbooks/N2005120998000191.pdf"	"yearbooks/N2005120998000191.xls"	"195"
"农民成人教育基本情况"	"全国和省、自治区、直辖市农村经济"	"294-295"	"N2005120998000192"	"1993"	"yearbooks/N2005120998000192.caj"	"yearbooks/N2005120998000192.pdf"	"yearbooks/N2005120998000192.xls"	"196"
"农业职业中学基本情况"	"全国和省、自治区、直辖市农村经济"	"295"	"N2005120998000193"	"1993"	"yearbooks/N2005120998000193.caj"	"yearbooks/N2005120998000193.pdf"	"yearbooks/N2005120998000193.xls"	"197"
"乡卫生院、床位和卫生人员数"	"全国和省、自治区、直辖市农村经济"	"296"	"N2005120998000194"	"1993"	"yearbooks/N2005120998000194.caj"	"yearbooks/N2005120998000194.pdf"	"yearbooks/N2005120998000194.xls"	"198"
"农村集体所有制乡卫生院、床位和卫生人员数"	"全国和省、自治区、直辖市农村经济"	"296"	"N2005120998000195"	"1993"	"yearbooks/N2005120998000195.caj"	"yearbooks/N2005120998000195.pdf"	"yearbooks/N2005120998000195.xls"	"199"
"乡卫生院人员数"	"全国和省、自治区、直辖市农村经济"	"297"	"N2005120998000196"	"1993"	"yearbooks/N2005120998000196.caj"	"yearbooks/N2005120998000196.pdf"	"yearbooks/N2005120998000196.xls"	"200"
"农村个体开业卫生技术人员数"	"全国和省、自治区、直辖市农村经济"	"298"	"N2005120998000197"	"1993"	"yearbooks/N2005120998000197.caj"	"yearbooks/N2005120998000197.pdf"	"yearbooks/N2005120998000197.xls"	"201"
"各地区乡卫生院、床位和卫生人员数"	"全国和省、自治区、直辖市农村经济"	"299"	"N2005120998000198"	"1993"	"yearbooks/N2005120998000198.caj"	"yearbooks/N2005120998000198.pdf"	"yearbooks/N2005120998000198.xls"	"202"
"各地区农村村级医疗组织形式"	"全国和省、自治区、直辖市农村经济"	"300-301"	"N2005120998000199"	"1993"	"yearbooks/N2005120998000199.caj"	"yearbooks/N2005120998000199.pdf"	"yearbooks/N2005120998000199.xls"	"203"
"各地区乡村医生和卫生员、接生员人数"	"全国和省、自治区、直辖市农村经济"	"302"	"N2005120998000200"	"1993"	"yearbooks/N2005120998000200.caj"	"yearbooks/N2005120998000200.pdf"	"yearbooks/N2005120998000200.xls"	"204"
"农村文化机构"	"全国和省、自治区、直辖市农村经济"	"303"	"N2005120998000201"	"1993"	"yearbooks/N2005120998000201.caj"	"yearbooks/N2005120998000201.pdf"	"yearbooks/N2005120998000201.xls"	"205"
"农村五保户集体供养情况"	"全国和省、自治区、直辖市农村经济"	"303"	"N2005120998000202"	"1993"	"yearbooks/N2005120998000202.caj"	"yearbooks/N2005120998000202.pdf"	"yearbooks/N2005120998000202.xls"	"206"
"各地区农村文化机构"	"全国和省、自治区、直辖市农村经济"	"304"	"N2005120998000203"	"1993"	"yearbooks/N2005120998000203.caj"	"yearbooks/N2005120998000203.pdf"	"yearbooks/N2005120998000203.xls"	"207"
"各地区农村散居五保人数"	"全国和省、自治区、直辖市农村经济"	"305"	"N2005120998000204"	"1993"	"yearbooks/N2005120998000204.caj"	"yearbooks/N2005120998000204.pdf"	"yearbooks/N2005120998000204.xls"	"208"
"各地区农村五保户集体供养情况"	"全国和省、自治区、直辖市农村经济"	"306"	"N2005120998000205"	"1993"	"yearbooks/N2005120998000205.caj"	"yearbooks/N2005120998000205.pdf"	"yearbooks/N2005120998000205.xls"	"209"
"农村集体办敬老院情况"	"全国和省、自治区、直辖市农村经济"	"307"	"N2005120998000206"	"1993"	"yearbooks/N2005120998000206.caj"	"yearbooks/N2005120998000206.pdf"	"yearbooks/N2005120998000206.xls"	"210"
"农村扶持贫困户情况"	"全国和省、自治区、直辖市农村经济"	"307"	"N2005120998000207"	"1993"	"yearbooks/N2005120998000207.caj"	"yearbooks/N2005120998000207.pdf"	"yearbooks/N2005120998000207.xls"	"211"
"各地区农村救济贫困户情况"	"全国和省、自治区、直辖市农村经济"	"308"	"N2005120998000208"	"1993"	"yearbooks/N2005120998000208.caj"	"yearbooks/N2005120998000208.pdf"	"yearbooks/N2005120998000208.xls"	"212"
"农村社会救济费和自然灾害救济费"	"全国和省、自治区、直辖市农村经济"	"309"	"N2005120998000209"	"1993"	"yearbooks/N2005120998000209.caj"	"yearbooks/N2005120998000209.pdf"	"yearbooks/N2005120998000209.xls"	"213"
"各地区农村社会救济费和自然灾害救济费"	"全国和省、自治区、直辖市农村经济"	"310"	"N2005120998000210"	"1993"	"yearbooks/N2005120998000210.caj"	"yearbooks/N2005120998000210.pdf"	"yearbooks/N2005120998000210.xls"	"214"
"农村有线广播普及情况"	"全国和省、自治区、直辖市农村经济"	"311"	"N2005120998000211"	"1993"	"yearbooks/N2005120998000211.caj"	"yearbooks/N2005120998000211.pdf"	"yearbooks/N2005120998000211.xls"	"215"
"农村邮电设施"	"全国和省、自治区、直辖市农村经济"	"311"	"N2005120998000212"	"1993"	"yearbooks/N2005120998000212.caj"	"yearbooks/N2005120998000212.pdf"	"yearbooks/N2005120998000212.xls"	"216"
"各地区农村有线广播普及情况"	"全国和省、自治区、直辖市农村经济"	"312-313"	"N2005120998000213"	"1993"	"yearbooks/N2005120998000213.caj"	"yearbooks/N2005120998000213.pdf"	"yearbooks/N2005120998000213.xls"	"217"
"各地区农村邮电设施"	"全国和省、自治区、直辖市农村经济"	"314-315"	"N2005120998000214"	"1993"	"yearbooks/N2005120998000214.caj"	"yearbooks/N2005120998000214.pdf"	"yearbooks/N2005120998000214.xls"	"218"
