"id"	"入侵时间及地点"	"防治方法"	"别名"	"危害特点"	"中文名"	"生物学特征及发生消长规律"	"纲"	"目"	"科"	"属"	"英文名"	"传播途径"	"入侵地"	"门"	"原产地"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"图片"
"67"	"1979年先后在山东济南和泰安（泰山）采到标本，80年代在安徽北部被采集，2002年在北京发现。"	"在结果前拔除。"	"泰山苋"	"一般性杂草。有时成为旱作物地和草坪杂草。 花果期9~10月。种子繁殖。 生于海拔500m以下路边、荒地、 宅旁或田园。"	"合被苋"	"一年生草本，生于海拔500m以下路边、荒地、宅旁或田园。花果期9~10月。种子繁殖。"	"双子叶植物纲"	"石竹目"	"苋科"	"苋属"	"Tropical Amaranth"	"常随作物种子、带土苗木和草皮扩散，蔓延速度快。"	"山东，北京，安徽"	"被子植物门"	"加勒比海岛屿、美国（南部至西南部）、墨西哥（东北部及尤卡坦半岛）"	"茎直立或斜升，高10~40cm，绿白色，下部有时淡紫红色，通常多分枝，被短柔毛，基部变无毛。叶卵形、倒卵形或椭圆状披针形，长0.6~3cm，宽0.3~1.5cm，先端微凹或圆形，具长0.5~1mm的芒尖，基部楔形，上面中央常横生一条白色斑带，干后不显，无毛；叶柄长0.3~2cm。花簇腋生，总梗极短，花单性，雌雄花混生；苞片及小苞片披钍形，长不及花被的1/2。花被(4~)5裂，膜质，白色，具3条纵脉，中肋绿色；雄花花被片长椭圆形，仅基部连合，雄蕊2(~3)；雌花被裂片匙形，先端急尖，下部约1/3合生成筒状，果时筒长约0.8mm，宿存并呈海绵质，柱头2~3裂。胞果不裂，长圆形，略长于花被，上部微皱。种子双凸镜状，红褐色且有光泽，长0.8~1mm。"	"李振宇，解焱，2002. 中国外来入侵种. p.105"	"Amaranthus polygonoides L."	"PL00067"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/合被苋.jpg"
"68"					"黑麦草"	"黑麦草须根发达，但入土不深，丛生，分蘖很多，种子千粒重2克左右，黑麦草喜温暖湿润土壤，适宜土壤pH为6—7。该草在昼夜温度为12℃—27℃时再生能力强，光照强，日照短，温度较低对分蘖有利，遮阳对黑麦草生长不利。黑麦草耐湿，但在排水不良或地下水位过高时不利于黑麦草生长，可在短时间内提供较多青饲料，是春秋季畜禽的良好草资源。"	"单子叶植物纲"	"禾本目"	"禾本科"	"黑麦草属"	"Perennial ryegrass"		"各地引种作牧草，野外状况不详"	"被子植物门"	"欧洲"	"一年生黑麦草鞘内叶芽卷曲（而多年生黑麦草是折叠），尖型叶尖，爪状叶耳，叶环宽，叶正面叶脉明显，叶的背面发亮光滑。 多年生黑麦草叶芽对折，叶尖呈尖型，叶的背面光滑发亮，正面叶脉明显，丛生，普通品种有膜状叶舌和短叶耳，宽叶环。多数新品种没有叶耳，叶舌不明显，有时也呈现船形叶尖，易与草地早熟禾相混。但仔细观察会发现叶尖顶端开裂。不像草地早熟禾那样在主脉的两侧有半透明的平行线。叶环比早熟禾更宽、更明显一些。耐阴性较差。该草喜温暖湿润而夏季较凉爽的环境，耐寒性和耐热性都不及早熟禾。不耐干旱，也不耐瘠薄。在肥沃、排水良好的粘土中生长较好，在瘠薄的沙土中生长不良。当气温低于-15℃会产生冻害。"		"Lolium perenne"	"PL00068"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/黑麦草.jpg"
"69"			"红三叶，红荷兰翘摇"	"一般性杂草。牧草，绿肥，蜜源植物。花序药用。"	"红车轴草"	"多年生草本。生于田边、路旁湿地，各地引种栽培，后逸生生为杂草，侵入旱作物田、官果园和桑园，危害不大。花期5月。不耐旱不耐涝。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"车轴草属"	"Red Clover"		"东北，华北，西南，安徽，江苏，江西，浙江"	"被子植物门"	"欧洲中部"	"无匍匐茎.小叶椭圆状卵形至宽椭圆形.花冠淡紫红色或紫色;有大型总苞,卵圆形,顶端锐尖,有纵脉;萼齿线状披针形.最下面1萼齿较长,有长毛,种子1粒。"	"李扬汉，1998. 中国杂草志. p.657-658； 中国植物志编辑委员会，1998a. 中国植物志. 42卷第2分册. p.339"	"Trifolium pratense L."	"PL00069"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/红车轴草.jpg"
"70"					"红瓜"		"双子叶植物纲"	"葫芦目"	"葫芦科"	"红瓜属"	"Ivygourd"		"福建、广东、云南、广西（围洲岛）"	"被子植物门"	"东南亚和印度"	"藤本，有卷须；花通常单性异株，单生或组成总状花序或聚伞花序；花冠钟形，裂片分裂至中部；雄蕊合生；果为浆果，长椭圆形，熟时鲜红色。"		"Coccinia grandis"	"PL00070"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/红瓜.jpg"
"71"	"19世纪中叶在香港被报道。"	"防止随带土苗木扩散，在发生地挖除小鳞茎，或用2,4-D钠盐或二甲四氯等除草剂防除。"			"红花酢浆草"	"多年生草本，常生长于低海拔的山地、田野、庭院和路边，适生于潮湿、疏松的土壤。由于种子数量大，其鳞茎容易分离，繁殖迅速。花果期6~9月。"	"双子叶植物纲"	"牻牛儿苗目"	"酢浆草科"	"酢浆草属"	"Corymb Woodsorrel"	"该种在我国作为观赏植物引入广为栽培，逸生后成为园圃和田间杂草。茎易随带土苗木传播。"	"安徽、北京、福建、广东、广西、贵州、湖北、湖南、江苏、江西、陕西、四川、台湾、天津、香港、云南、浙江、重庆"	"被子植物门"	"热带美洲；世界温暖地区广泛归化。"	"高达35cm，无地上茎，地下有多数小鳞茎，外层鳞片膜质，褐色，被长缘毛，背面有3条纵脉，内层鳞片三角形，无毛。叶具三小叶，基生；叶柄长，被毛；小叶阔倒卵形，长1~4cm，顶端凹缺，两侧角钝圆形，基部宽楔形。二歧聚伞花序，有5~10朵花，花序梗基生，长10~40cm。花淡紫红色，花梗长5~25mm；萼片5，披针形，长约4~7mm，先端有2枚暗红色长圆形腺体；花瓣5，倒心形，长为萼片的2~4倍，无毛；花柱5，被锈色柔毛。蒴果圆柱形，长1.7~2cm，被毛。"		"Oxalis corymbosa"	"PL00071"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/红花酢浆草.jpg"
"72"					"红花月见草"		"双子叶植物纲"	"桃金娘目"	"柳叶菜科"	"月见草属"	"Limpia Evening Primrose"		"贵州、江西、云南"	"被子植物门"	"中美洲"			"oenothera rosea L’ Her. Ex Aif"	"PL00072"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/红花月见草.jpg"
"73"			"红节节草，红田乌草"		"红莲子草"	"多年生落叶草本，叶终年通红；喜温暖水湿环境，可旱栽；适合庭院及水边湿地美化。"	"双子叶植物纲"	"石竹目"	"苋科"	"莲子草属"	"Alligator　weed"		"广东、海南、台湾"	"被子植物门"	"南美洲"	"茎红色，基部常匍匐，多分枝。 叶具柄，对生，叶片矩圆状倒卵形至匙形，长2～4.5厘米，先端短尖或钝，绿色带红紫色。 头状花序腋生，无柄，单生，卵状或近球形：微有毛。"		"Alternanthera paronychioides"	"PL00073"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/红莲子草.jpg"
"74"	"20世纪50年代作为牧草引种栽培，后逸为野生"			"一般性杂草。在台湾省沿着道路蔓延，已呈由北向南扩散趋势，对生态环境造成一定的危害。"	"红毛草"	"多年生草本。多生于河边、山坡草地。未见进入农田。繁殖能力和适应能力强，花果期6~11月。种子繁殖。"	"单子叶植物纲"	"禾本目"	"禾本科"	"红毛草属"	"Creeping Rhynchelytrum"	"作为牧草和观赏植物引种。"	"广东、台湾"	"被子植物门"	"南非"	"秆直立，常分枝，高40~100cm，节间具疣毛，节具软毛。叶鞘松弛，下部散生疣毛；叶片线形，无毛，长达20cm，宽2~5mm。圆锥花序开展，长10~15cm，分枝长达8cm；小穗柄纤细，顶端稍膨大，疏生长柔毛；小穗两侧压扁，长约5mm，被粉红色长丝状毛；含2小花，仅第二小花结实；第一颖小，长为小穗的1/5，具1脉，被短硬毛；第二颖和第一外稃相似，具5脉，被疣基长绢毛，顶端微裂，裂齿间有1mm的细芒。第一内稃膜质，具两脊，脊上有睫毛；第二外稃厚纸质，卷抱内稃；雄蕊3；花柱分离，柱头羽毛状。"	"李扬汉，1998. 中国杂草志. p.1318"	"Rhynchelytrum repens (wild.) C.E. Hubb."	"PL00074"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/红毛草.jpg"
"75"	"1979年引入我国"	"1）人工及机械清除效率低。使用塑料薄膜使其窒息死亡，埋葬或是反复焚烧能达到90%的消灭率。但是这种方法比使用除草剂贵且在实际操作中会碰到很多问题。例如这些塑料薄膜也许会被潮汐带走。因此该方法只适用于较小的区域范围。其秧苗或幼株可以采用挖除的方法。在北爱尔兰曾成功挖除的最大植株直径为50 cm。而试图挖除较大一些的植株群没有成功。其它正在研究的控制手段有蒸汽处理法。（2）除草剂通常只能清除地表以上部分，对于滩涂中的种子和根系效果较差。对于大米草（Spartina anglica），一次性施用除草剂精吡氟禾草灵Fluazifop (Fusilade) 和吡氟乙草灵（盖草能）Haloxyfop (Gallant)能达到90%以上的杀灭率，但是若想完全清除该杂草则需要反复喷施。（3）生物防治如光蝉（Prokelisia spp.）被认为是有效的。"		"被列入世界最危险的100种入侵种名单。1979年引入，取得了一定的经济效益。但近年来在一些地方变成了害草，表现在：（1）破坏近海生物栖息环境，影响滩涂养殖；（2）堵塞航道，影响船只出港；（3）影响海水交换能力，导致水质下降，并诱发赤潮；（4）威胁本土海岸生态系统，致使大片红树林消失。"	"互花米草"	"多年生草本，生于潮间带。植株耐盐耐淹，抗风浪。种子可随风浪传播。根系分布在60cm深的滩土中，单株一年内可繁殖几十甚至上百株。"	"单子叶植物纲"	"禾本目"	"禾本科"	"大米草属"	"Smooth Cord-grass"		"福建、浙江、上海、江苏、山东、天津以及辽宁等省的沿海地区"	"被子植物门"	"美国东南部海岸；在美国西部和欧洲海岸归化。"	"秆高1~1.7m，直立，不分枝。叶长达60cm，基部宽0.5~1.5cm，至少干时内卷，先端渐狭成丝状；叶舌毛环状，长1~1.8cm。圆锥花序由3~13个长（3）5~15cm，多少直立的穗状花序组成；小穗长10~18mm，覆瓦状排列。颖先端多少急尖，具1脉，第一颖短于第二颖，无毛或沿脊疏生短柔毛；花药长5~7mm。"		"Spartina alterniflora"	"PL00075"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/互花米草.jpg"
"76"	"于2001年首次在我国天津、河北发现。"	"针对黄顶菊的生理特性，现阶段防治黄顶菊应该主要从以下几个方面入手。 一、开展黄顶菊大普查。各地农业部门应全面摸清黄顶菊的发生和分布情况，对黄顶菊可能发生的重点区域，如废弃的厂矿、工地和滨海、河边、沟渠边、道路两旁等进行细致调查。 二、加强监测、及时上报。各地农业部门在黄顶菊发生地建立观察点，加强监测，及时掌握黄顶菊发生动态，以进一步采取扑灭措施。对于普通公众来说，如在黄顶菊发生及潜在发生地区发现可疑植物，应及时向农业部门报告。 三、严格控制人为传播。由于黄顶菊繁殖能力极强，凡是接触过黄顶菊的人，都要严格检查自身是否具有携带黄顶菊种子以及带有黄顶菊残根残茎泥土，并严格做到不将黄顶菊的种子和带有黄顶菊残根残茎的土壤带到异地。 四、及时发现，及时铲除。4-8月份是黄顶菊营养生长期，也是铲除黄顶菊的最佳时期。对零散分布的黄顶菊我们必须做到及时发现、及时铲除。对成片发生地区，可先割除植株，再耕翻晒根，再拾尽根茬，然后焚烧，做到斩草除根。"		"黄顶菊最大的可怕之处就在于它的根系能产生一种化感物质，这种化感物会抑制其他生物生长，并最终导致其他植物死亡。张国良说，他的多次试验结果已经表明，在生长过黄顶菊的土壤里种上小麦、大豆，其发芽能力会变得很低。这也就意味着，如果对黄顶菊不加防治，几年后整个地面很可能就只剩下黄顶菊了，这势必会破坏生物的多样性。黄顶菊的花期长，花粉量大，花期与大多数土著菊科交叉重叠。如果黄顶菊与发生区域内的其他土著菊科植物，产生天然的菊科植物属间杂交，就有可能导致形成新的危害性更大的物种。根据黄顶菊原产地及其传播入侵区域的生态环境条件，可以判定黄顶菊在我国的适宜生长区域远远不仅限于目前已知道的天津、河北等地，我国的华北、华中、华东、华南及沿海地区都有可能成为黄顶菊入侵的重点区域。"	"黄顶菊"	"黄顶菊为一年生草本植物，花冠鲜黄色，花果期夏季至秋季或全年。喜生于荒地，尤其偏爱废弃的厂矿、工地和滨海等富含矿物质及盐分的环境，在靠近河、溪旁的水湿处、峡谷、悬崖、峭壁、陡岸、原野、牧场、弃耕地、街道附近、道路两旁，以及含砾岩或沙子的黏土都能生长。常在靠近码头丢弃的沙子等压舱物和海岸边的荒地上滋生。"	"双子叶植物纲"	"菊目"	"菊科"	"黄顶菊属"	"Coastal plain yellowtops"		"河北、天津"	"被子植物门"	"美洲"	"黄顶菊一般株高25——170厘米，叶子交互对生，椭圆形，叶片边缘有稀疏而整齐的锯齿，花冠为鲜黄色，非常醒目。它是一年生杂草，一株黄顶菊大概能开1200多朵花，每朵花可产上百粒种子，一株能产十几万粒种，因此扩散蔓延的非常快。"		"Flaveriabidentis(L.)Kuntze，"	"PL00076"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/黄顶菊.jpg"
